id_wikidata,materia
Q94142000,Social Studies 
Q87075524,Computing 
Q3474605,English Language 
Q63491688,Science
Q109601758,English Language 
Q64276610,Science
Q70120338,Science
Q3307703,Computing 
Q64817736,Computing 
Q56395513,Science
Q16861871,Social Studies 
Q11345,Mathematics 
Q1460420,Social Studies 
Q1981388,Social Studies 
Q11379,Science
Q3236990,Social Studies 
Q12453,Mathematics 
Q7150,Social Studies 
Q11663,Social Studies 
Q380170,Social Studies 
Q8445,Social Studies 
Q1132455,Computing 
Q1464916,Social Studies 
Q2625603,Social Studies 
Q183197,Computing 
Q33829,Social Studies 
Q6235,Social Studies 
Q844569,Social Studies 
Q96379430,Social Studies 
Q1752412,Social Studies 
Q170978,Computing 
Q107223533,Mathematics 
Q2249676,Social Studies 
Q1554231,Social Studies 
Q36133,Science
Q7942,Science
Q1301371,Computing 
Q5467169,Social Studies 
Q829183,Social Studies 
Q37260,English Language 
Q3534039,Social Studies 
Q11229,Mathematics 
Q1338363,Social Studies 
Q11563,Mathematics 
Q766561,Science
Q5268834,Computing 
Q1278627,Social Studies 
Q49389,Social Studies 
Q2298050,English Language 
Q2472587,Social Studies 
Q50989,Social Studies 
Q1492760,Social Studies 
Q37813,Science
Q33829,Social Studies 
Q482,English Language 
Q42515,Social Studies 
Q96379430,Social Studies 
Q8620,Social Studies 
Q81365,Mathematics 
Q80006,Computing 
Q1554231,Social Studies 
Q52943,English Language 
Q28113351,Mathematics 
Q2083958,Mathematics 
Q466,Computing 
Q50701,Mathematics 
Q3839081,Social Studies 
Q1274115,Social Studies 
Q570116,Social Studies 
Q131774,Social Studies 
Q473596,Social Studies 
Q122508,Science
Q185467,Social Studies 
Q1780509,Computing 
Q49389,Social Studies 
Q2472587,Social Studies 
Q216526,Social Studies 
Q3481047,Mathematics 
Q43619,Social Studies 
Q3743137,Social Studies 
Q345367,Social Studies 
Q2144359,Social Studies 
Q11042,Social Studies 
Q42515,Social Studies 
Q11016,Computing 
Q186386,Social Studies 
Q795052,Social Studies 
Q68,Computing 
Q189900,Computing 
Q80962,Science
Q190007,Social Studies 
Q82622,English Language 
Q1860557,Social Studies 
Q214609,Science
Q132241,Social Studies 
Q180388,Science
Q3395210,Social Studies 
Q8436,Social Studies 
Q16938973,Science
Q339486,Social Studies 
Q10981881,Social Studies 
Q117,Social Studies 
Q832237,Social Studies 
Q66055,Mathematics 
Q864114,Computing 
Q454,Social Studies 
Q3908516,Social Studies 
Q180684,Social Studies 
Q467803,Social Studies 
Q6499736,English Language 
Q37055,Social Studies 
Q8436,Social Studies 
Q2580160,Social Studies 
Q1880695,Social Studies 
Q42138,Social Studies 
Q780522,English Language 
Q2144359,Social Studies 
Q1314553,Social Studies 
Q11266,Computing 
Q3220391,Computing 
Q3884033,Mathematics 
Q11451,Science
Q377908,Social Studies 
Q8104,Social Studies 
Q544,Science
Q42848,Mathematics 
Q832237,Social Studies 
Q778637,Computing 
Q3968,Mathematics 
Q8008,Science
Q177634,Social Studies 
Q16000047,Science
Q513359,Science
Q42138,Social Studies 
Q101065,Social Studies 
Q7150,Social Studies 
Q8458,Social Studies 
Q8091,English Language 
Q207961,Mathematics 
Q17156063,Social Studies 
Q8366,Computing 
Q131524,Social Studies 
Q46744,English Language 
Q776754,English Language 
Q653848,Social Studies 
Q11379,Science
Q107,Mathematics 
Q1640893,Social Studies 
Q4006,Social Studies 
Q9492,Mathematics 
Q12725,Science
Q37732,Social Studies 
Q2249676,Science
Q524656,Social Studies 
Q33829,Social Studies 
Q5467169,Social Studies 
Q7937,Social Studies 
