id_wikidata,materia
Q1003183,Química
Q1004,Comunicación visual
Q101065,Taller de salud y sexualidad
Q101395,Química
Q101673483,Biología
Q101896,Biología
Q1019285,Geografía
Q102047,Lengua española
Q1020994,Historia
Q10260689,Biología
Q10265536,Matemática
Q102761,Matemática
Q10280306,Biología
Q10295439,Geografía
Q1029907,Biología
Q103184,Lengua española
Q103191,Biología
Q103285,Literatura
Q1033073,Educación musical
Q10354784,Educación física y recreación
Q10388960,Matemática
Q104083,Lengua española
Q104752,Matemática
Q1047808,Tecnologías
Q104837,Química
Q1050744,Lengua española
Q1051175,Lengua española
Q105196,Biología
Q1054330,Comunicación y sociedad
Q1055771,Educación física y recreación
Q1056194,Biología
Q1056761,Física
Q1059,Biología
Q1061635,Ciencias de la computación
Q10617810,Comunicación y sociedad
Q1063420,Biología
Q1063501,Biología
Q1063837,Tecnologías
Q1065449,Biología
Q10693,Química
Q1070689,Comunicación visual
Q1072,Biología
Q107265092,Física
Q1073,Biología
Q1073121,Biología
Q107414,Química
Q1075,Comunicación visual
Q1076509,Taller de salud y sexualidad
Q107715,Física
Q107934765,Formación para la ciudadanía
Q1084,Lengua española
Q10876,Biología
Q1088777,Biología
Q10899852,Literatura
Q1091532,Diseño
Q1094061,Lengua española
Q109425421,Historia
Q1094545,Historia
Q109466090,Literatura
Q10954578,Comunicación y sociedad
Q1096872,Ciencias de la computación
Q1097630,Biología
Q10981881,Taller de salud y sexualidad
Q1098652,Biología
Q109930932,Lengua española
Q1100446,Lengua española
Q11012,Ciencias de la computación
Q11016,Tecnologías
Q110176,Matemática
Q11024,Comunicación y sociedad
Q110304307,Diseño
Q110435425,Literatura
Q11068,Biología
Q11078,Biología
Q11083,Biología
Q11088,Biología
Q11090,Biología
Q1111,Tecnologías
Q1114190,Química
Q11151749,Biología
Q111637324,Biología
Q11173,Química
Q112062681,Literatura
Q11220541,Biología
Q1122094,Lengua española
Q11229,Matemática
Q1125955,Ciencias de la computación
Q11271324,Ciencias físico-químicas
Q113013,Literatura
Q1132690,Historia
Q1133779,Diseño
Q11344,Química
Q113462,Formación para la ciudadanía
Q11348,Matemática
Q11352,Matemática
Q113558,Educación musical
Q11358,Biología
Q11364,Biología
Q11367,Biología
Q11372,Ciencias físico-químicas
Q11375,Ciencias de la computación
Q11382,Física
Q1138301,Geografía
Q1138737,Tecnologías
Q11392181,Biología
Q11403,Educación musical
Q11404,Educación musical
Q114084,Educación física y recreación
Q11410,Educación física y recreación
Q1141745,Historia
Q11423,Química
Q11426,Química
Q11451,Historia
Q1145436,Biología
Q1145523,Comunicación visual
Q11461,Educación musical
Q11466,Ciencias físico-químicas
Q1147070,Taller de salud y sexualidad
Q1147377,Educación física y recreación
Q11474,Tecnologías
Q1147454,Literatura
Q1148482,Geografía
Q11500,Matemática
Q1150771,Ciencias de la computación
Q1151067,Formación para la ciudadanía
Q11518,Matemática
Q11523535,Geografía
Q115368,Matemática
Q115404068,Matemática
Q1154146,Educación física y recreación
Q1156722,Educación física y recreación
Q116052868,Comunicación y sociedad
Q11629,Comunicación visual
Q11633,Diseño
Q11634,Comunicación visual
Q11639,Educación física y recreación
Q11651,Tecnologías
Q11653,Tecnologías
Q11656,Tecnologías
Q1165944,Geografía
Q11660,Ciencias de la computación
Q116776698,Biología
Q11768,Historia
Q11772,Historia
Q11780455,Química
Q11784425,Física
Q1184366,Biología
Q118928294,Ciencias de la computación
Q11895763,Educación musical
Q1189753,Comunicación visual
Q11923236,Biología
Q1193158,Comunicación y sociedad
Q1193859,Educación musical
Q1195015,Educación musical
Q1195272,Literatura
Q119585523,Historia
Q11978,Biología
Q11982,Biología
Q11990,Biología
Q11995,Biología
Q1200427,Historia
Q12029,Biología
Q1203075,Matemática
Q120446,Biología
Q12076007,Tecnologías
Q120812,Matemática
Q12115713,Comunicación y sociedad
Q12132639,Ciencias físico-químicas
Q12136,Biología
Q121363414,Lengua española
Q121363417,Lengua española
Q121363423,Lengua española
Q121363426,Lengua española
Q121363428,Lengua española
Q121363627,Ciencias de la computación
Q121363628,Ciencias de la computación
Q121363629,Ciencias de la computación
Q121363631,Ciencias de la computación
Q121363632,Ciencias de la computación
Q121363633,Ciencias de la computación
Q121363634,Ciencias de la computación
Q121363635,Ciencias de la computación
Q12147,Biología
Q121610,Biología
Q12171,Biología
Q12174,Biología
Q121763963,Comunicación visual
Q121763964,Comunicación visual
Q121763965,Comunicación visual
Q121763966,Comunicación visual
Q121763967,Comunicación visual
Q121763968,Comunicación visual
Q121763970,Comunicación visual
Q121763972,Comunicación visual
Q121763973,Comunicación visual
Q121763977,Comunicación visual
Q121763978,Comunicación visual
Q121763979,Comunicación visual
Q121763980,Comunicación visual
Q121763981,Comunicación visual
Q121763982,Comunicación visual
Q121763983,Comunicación visual
Q121763984,Comunicación visual
Q121763986,Comunicación visual
Q121763988,Comunicación visual
Q121763989,Comunicación visual
Q121763990,Comunicación visual
Q121763991,Comunicación visual
Q121763993,Comunicación visual
Q121766089,Literatura
Q121766090,Literatura
Q121766091,Literatura
Q121766092,Literatura
Q121766093,Literatura
Q121766094,Literatura
Q121766095,Literatura
Q121766096,Literatura
Q121766098,Literatura
Q121766100,Literatura
Q121766101,Literatura
Q121766102,Literatura
Q121766103,Literatura
Q121766104,Literatura
Q121766105,Literatura
Q121766106,Literatura
Q121766109,Literatura
Q121766110,Literatura
Q121766114,Literatura
Q121766115,Literatura
Q121766116,Literatura
Q12177156,Química
Q121789023,Diseño
Q121789024,Diseño
Q121789025,Educación musical
Q121789503,Geografía
Q121789518,Geografía
Q121789519,Geografía
Q121789520,Geografía
Q121789521,Geografía
Q121789522,Geografía
Q121789523,Geografía
Q121789524,Geografía
Q121789525,Ciencias de la computación
Q121789526,Ciencias de la computación
Q121789527,Ciencias de la computación
Q121789529,Ciencias de la computación
Q121791971,Física
Q121791972,Educación física y recreación
Q121791973,Educación física y recreación
Q121791974,Educación física y recreación
Q121791975,Educación física y recreación
Q121791977,Educación física y recreación
Q121791978,Educación física y recreación
Q121791979,Educación física y recreación
Q121791980,Educación física y recreación
Q121791982,Educación física y recreación
Q121791983,Educación física y recreación
Q121791984,Educación física y recreación
Q121791985,Educación física y recreación
Q121791986,Educación física y recreación
Q121791987,Educación física y recreación
