id_wikidata,material,grade
Q94142000,Social Studies ,8
Q87075524,Computing ,7
Q3474605,English Language ,7
Q63491688,Science,7
Q109601758,English Language ,7
Q64276610,Science,7
Q70120338,Science,7
Q3307703,Computing ,7
Q64817736,Computing ,7
Q56395513,Science,7
Q16861871,Social Studies ,8
Q11345,Mathematics ,7
Q1460420,Social Studies ,8
Q1981388,Social Studies ,7
Q11379,Science,core
Q3236990,Social Studies ,7
Q12453,Mathematics ,7
Q7150,Social Studies ,7
Q11663,Social Studies ,7
Q380170,Social Studies ,7
Q8445,Social Studies ,7
Q1132455,Computing ,7
Q1464916,Social Studies ,7
Q2625603,Social Studies ,7
Q183197,Computing ,7
Q33829,Social Studies ,8
Q6235,Social Studies ,8
Q844569,Social Studies ,7
Q96379430,Social Studies ,8
Q1752412,Social Studies ,9
Q170978,Computing ,7
Q107223533,Mathematics ,7
Q2249676,Social Studies ,7
Q1554231,Social Studies ,8
Q36133,Science,core
Q7942,Science,7
Q1301371,Computing ,7
Q5467169,Social Studies ,7
Q829183,Social Studies ,8
Q37260,English Language ,7
Q3534039,Social Studies ,7
Q11229,Mathematics ,7
Q1338363,Social Studies ,7
Q11563,Mathematics ,7
Q766561,Science,7
Q5268834,Computing ,7
Q1278627,Social Studies ,7
Q49389,Social Studies ,8
Q2298050,English Language ,7
Q2472587,Social Studies ,8
Q50989,Social Studies ,7
Q1492760,Social Studies ,7
Q37813,Science,7
Q33829,Social Studies ,7
Q482,English Language ,7
Q42515,Social Studies ,8
Q96379430,Social Studies ,7
Q8620,Social Studies ,7
Q81365,Mathematics ,7
Q80006,Computing ,7
Q1554231,Social Studies ,7
Q52943,English Language ,7
Q28113351,Mathematics ,7
Q2083958,Mathematics ,7
Q466,Computing ,7
Q50701,Mathematics ,7
Q3839081,Social Studies ,8
Q1274115,Social Studies ,7
Q570116,Social Studies ,7
Q131774,Social Studies ,7
Q473596,Social Studies ,7
Q122508,Science,core
Q185467,Social Studies ,7
Q1780509,Computing ,7
Q49389,Social Studies ,7
Q2472587,Social Studies ,7
Q216526,Social Studies ,7
Q3481047,Mathematics ,7
Q43619,Social Studies ,7
Q3743137,Social Studies ,7
Q345367,Social Studies ,7
Q2144359,Social Studies ,9
Q11042,Social Studies ,9
Q42515,Social Studies ,7
Q11016,Computing ,7
Q186386,Social Studies ,7
Q795052,Social Studies ,8
Q68,Computing ,7
Q189900,Computing ,7
Q80962,Science,7
Q190007,Social Studies ,9
Q82622,English Language ,7
Q1860557,Social Studies ,7
Q214609,Science,7
Q132241,Social Studies ,7
Q180388,Science,7
Q3395210,Social Studies ,9
Q8436,Social Studies ,9
Q16938973,Science,7
Q339486,Social Studies ,7
Q10981881,Social Studies ,7
Q117,Social Studies ,7
Q832237,Social Studies ,8
Q66055,Mathematics ,7
Q864114,Computing ,7
Q454,Social Studies ,8
Q3908516,Social Studies ,8
Q180684,Social Studies ,8
Q467803,Social Studies ,7
Q6499736,English Language ,7
Q37055,Social Studies ,7
Q8436,Social Studies ,8
Q2580160,Social Studies ,7
Q1880695,Social Studies ,9
Q42138,Social Studies ,8
Q780522,English Language ,7
Q2144359,Social Studies ,7
Q1314553,Social Studies ,7
Q11266,Computing ,7
Q3220391,Computing ,7
Q3884033,Mathematics ,7
Q11451,Science,7
Q377908,Social Studies ,7
Q8104,Social Studies ,7
Q544,Science,7
Q42848,Mathematics ,7
Q832237,Social Studies ,7
Q778637,Computing ,7
Q3968,Mathematics ,7
Q8008,Science,7
Q177634,Social Studies ,8
Q16000047,Science,7
Q513359,Science,7
Q42138,Social Studies ,7
Q101065,Social Studies ,7
Q7150,Social Studies ,8
Q8458,Social Studies ,8
Q8091,English Language ,7
Q207961,Mathematics ,7
Q17156063,Social Studies ,7
Q8366,Computing ,7
Q131524,Social Studies ,8
Q46744,English Language ,7
Q776754,English Language ,7
Q653848,Social Studies ,7
Q11379,Science,7
Q107,Mathematics ,7
Q1640893,Social Studies ,8
Q4006,Social Studies ,7
Q9492,Mathematics ,7
Q12725,Science,7
Q37732,Social Studies ,7
Q2249676,Science,7
Q524656,Social Studies ,7
Q33829,Social Studies ,9
Q5467169,Social Studies ,8
Q7937,Social Studies ,7
