id_wikidata	programaLabel
Q349	    8vo 
Q542	    8vo 
Q847	    8vo 
Q1734	    8vo 
Q2736	    8vo 
Q3930	    8vo 
Q5369	    8vo 
Q5372	    8vo 
Q5378	    8vo 
Q7291	    8vo 
Q7365	    8vo 
Q8418	    8vo 
Q9415	    8vo 
Q11410	    8vo 
Q29358	    8vo 
Q40461	    8vo 
Q43450	    8vo 
Q47928	    8vo 
Q121791974	    8vo 
Q121791975	    8vo 
Q121791972	    8vo 
Q121791973	    8vo 
Q121791978	    8vo 
Q121791979	    8vo 
Q121791977	    8vo 
Q121791982	    8vo 
Q121791983	    8vo 
Q121791980	    8vo 
Q121791987	    8vo 
Q121791984	    8vo 
Q121791985	    8vo 
Q121791990	    8vo 
Q121791991	    8vo 
Q121791988	    8vo 
Q121791989	    8vo 
Q121791995	    8vo 
Q121791992	    8vo 
Q121791993	    8vo 
Q121791998	    8vo 
Q121791999	    8vo 
Q121792744	    8vo 
Q114084	    8vo 
Q127006	    8vo 
Q160738	    8vo 
Q171957	    8vo 
Q193036	    8vo 
Q193434	    8vo 
Q194326	    8vo 
Q201022	    8vo 
Q216048	    8vo 
Q242069	    8vo 
Q242069	    9no 
Q243253	    8vo 
Q373557	    8vo 
Q473719	    8vo 
Q477298	    8vo 
Q556496	    8vo 
Q640757	    8vo 
Q640757	    9no 
Q656619	    8vo 
Q726543	    8vo 
Q726543	    9no 
Q747883	    9no 
Q907574	    8vo 
Q1033073	    8vo 
Q1147377	    8vo 
Q1154146	    8vo 
Q1452181	    8vo 
Q1509934	    8vo 
Q1582389	    8vo 
Q1622659	    8vo 
Q1751513	    9no 
Q2000344	    8vo 
Q2116083	    8vo 
Q2116083	    9no 
Q2426831	    8vo 
Q2426831	    9no 
Q2551030	    8vo 
Q2551030	    9no 
Q2755547	    8vo 
Q2826051	    8vo 
Q2826051	    9no 
Q3220391	    8vo 
Q3220391	    9no 
Q3625500	    8vo 
Q3821310	    8vo 
Q4413211	    8vo 
Q4519653	    9no 
Q5840462	    8vo 
Q6072465	    8vo 
Q8514257	    8vo 
Q9030985	    8vo 
Q13208902	    8vo 
Q13208902	    9no 
Q13428326	    8vo 
Q14390274	    8vo 
Q15733239	    8vo 
Q30674073	    8vo 
Q42387144	   9no 
Q56318473	   9no 
Q56318674	   9no 
Q56378658	   9no 
Q58363586	   9no 
Q60826125	   9no 
Q762	    7mo 
Q8958	    7mo 
Q5878	   9no 
Q7239	     7mo 
Q7432	     7mo 
Q8148	     7mo 
Q8242	   9no 
Q16285	   9no 
Q16864	   9no 
Q24449	   9no 
Q37813	     7mo 
Q47041	     7mo 
Q49084	   9no 
Q97369394	   9no 
Q109466090	   9no 
Q121766090	   9no 
Q121766091	   9no 
Q121766089	   9no 
Q121766094	   9no 
Q121766095	   9no 
Q121766092	   9no 
Q121766102	   9no 
