id_wikidata,material
Q94142000,Social Studies Curriculum for Basic 8
Q87075524,Computing Curriculum for Basic 7 in Ghana
Q3474605,English Language Curriculum for Basic 7
Q63491688,Science
Q109601758,English Language Curriculum for Basic 7
Q64276610,Science
Q70120338,Science
Q3307703,Computing Curriculum for Basic 7 in Ghana
Q64817736,Computing Curriculum for Basic 7 in Ghana
Q56395513,Science
Q16861871,Social Studies Curriculum for Basic 8
Q11345,Mathematics Curriculum for Basic 7
Q1460420,Social Studies Curriculum for Basic 8
Q1981388,Social Studies Curriculum for Basic 7
Q11379,Science
Q3236990,Social Studies Curriculum for Basic 7
Q12453,Mathematics Curriculum for Basic 7
Q7150,Social Studies Curriculum for Basic 7
Q11663,Social Studies Curriculum for Basic 7
Q380170,Social Studies Curriculum for Basic 7
Q8445,Social Studies Curriculum for Basic 7
Q1132455,Computing Curriculum for Basic 7 in Ghana
Q1464916,Social Studies Curriculum for Basic 7
Q2625603,Social Studies Curriculum for Basic 7
Q183197,Computing Curriculum for Basic 7 in Ghana
Q33829,Social Studies Curriculum for Basic 8
Q6235,Social Studies Curriculum for Basic 8
Q844569,Social Studies Curriculum for Basic 7
Q96379430,Social Studies Curriculum for Basic 8
Q1752412,Social Studies Curriculum for Basic 9
Q170978,Computing Curriculum for Basic 7 in Ghana
Q107223533,Mathematics Curriculum for Basic 7
Q2249676,Social Studies Curriculum for Basic 7
Q1554231,Social Studies Curriculum for Basic 8
Q36133,Science
Q7942,Science
Q1301371,Computing Curriculum for Basic 7 in Ghana
Q5467169,Social Studies Curriculum for Basic 7
Q829183,Social Studies Curriculum for Basic 8
Q37260,English Language Curriculum for Basic 7
Q3534039,Social Studies Curriculum for Basic 7
Q11229,Mathematics Curriculum for Basic 7
Q1338363,Social Studies Curriculum for Basic 7
Q11563,Mathematics Curriculum for Basic 7
Q766561,Science
Q5268834,Computing Curriculum for Basic 7 in Ghana
Q1278627,Social Studies Curriculum for Basic 7
Q49389,Social Studies Curriculum for Basic 8
Q2298050,English Language Curriculum for Basic 7
Q2472587,Social Studies Curriculum for Basic 8
Q50989,Social Studies Curriculum for Basic 7
Q1492760,Social Studies Curriculum for Basic 7
Q37813,Science
Q33829,Social Studies Curriculum for Basic 7
Q482,English Language Curriculum for Basic 7
Q42515,Social Studies Curriculum for Basic 8
Q96379430,Social Studies Curriculum for Basic 7
Q8620,Social Studies Curriculum for Basic 7
Q81365,Mathematics Curriculum for Basic 7
Q80006,Computing Curriculum for Basic 7 in Ghana
Q1554231,Social Studies Curriculum for Basic 7
Q52943,English Language Curriculum for Basic 7
Q28113351,Mathematics Curriculum for Basic 7
Q2083958,Mathematics Curriculum for Basic 7
Q466,Computing Curriculum for Basic 7 in Ghana
Q50701,Mathematics Curriculum for Basic 7
Q3839081,Social Studies Curriculum for Basic 8
Q1274115,Social Studies Curriculum for Basic 7
Q570116,Social Studies Curriculum for Basic 7
Q131774,Social Studies Curriculum for Basic 7
Q473596,Social Studies Curriculum for Basic 7
Q122508,Science
Q185467,Social Studies Curriculum for Basic 7
Q1780509,Computing Curriculum for Basic 7 in Ghana
Q49389,Social Studies Curriculum for Basic 7
Q2472587,Social Studies Curriculum for Basic 7
Q216526,Social Studies Curriculum for Basic 7
Q3481047,Mathematics Curriculum for Basic 7
Q43619,Social Studies Curriculum for Basic 7
Q3743137,Social Studies Curriculum for Basic 7
Q345367,Social Studies Curriculum for Basic 7
Q2144359,Social Studies Curriculum for Basic 9
Q11042,Social Studies Curriculum for Basic 9
Q42515,Social Studies Curriculum for Basic 7
Q11016,Computing Curriculum for Basic 7 in Ghana
Q186386,Social Studies Curriculum for Basic 7
Q795052,Social Studies Curriculum for Basic 8
Q68,Computing Curriculum for Basic 7 in Ghana
Q189900,Computing Curriculum for Basic 7 in Ghana
Q80962,Science
Q190007,Social Studies Curriculum for Basic 9
Q82622,English Language Curriculum for Basic 7
Q1860557,Social Studies Curriculum for Basic 7
Q214609,Science
Q132241,Social Studies Curriculum for Basic 7
Q180388,Science
Q3395210,Social Studies Curriculum for Basic 9
Q8436,Social Studies Curriculum for Basic 9
Q16938973,Science
Q339486,Social Studies Curriculum for Basic 7
Q10981881,Social Studies Curriculum for Basic 7
Q117,Social Studies Curriculum for Basic 7
Q832237,Social Studies Curriculum for Basic 8
Q66055,Mathematics Curriculum for Basic 7
Q864114,Computing Curriculum for Basic 7 in Ghana
Q454,Social Studies Curriculum for Basic 8
Q3908516,Social Studies Curriculum for Basic 8
Q180684,Social Studies Curriculum for Basic 8
Q467803,Social Studies Curriculum for Basic 7
Q6499736,English Language Curriculum for Basic 7
Q37055,Social Studies Curriculum for Basic 7
Q8436,Social Studies Curriculum for Basic 8
Q2580160,Social Studies Curriculum for Basic 7
Q1880695,Social Studies Curriculum for Basic 9
Q42138,Social Studies Curriculum for Basic 8
Q780522,English Language Curriculum for Basic 7
Q2144359,Social Studies Curriculum for Basic 7
Q1314553,Social Studies Curriculum for Basic 7
Q11266,Computing Curriculum for Basic 7 in Ghana
Q3220391,Computing Curriculum for Basic 7 in Ghana
Q3884033,Mathematics Curriculum for Basic 7
Q11451,Science
Q377908,Social Studies Curriculum for Basic 7
Q8104,Social Studies Curriculum for Basic 7
Q544,Science
Q42848,Mathematics Curriculum for Basic 7
Q832237,Social Studies Curriculum for Basic 7
Q778637,Computing Curriculum for Basic 7 in Ghana
Q3968,Mathematics Curriculum for Basic 7
Q8008,Science
Q177634,Social Studies Curriculum for Basic 8
Q16000047,Science
Q513359,Science
Q42138,Social Studies Curriculum for Basic 7
Q101065,Social Studies Curriculum for Basic 7
Q7150,Social Studies Curriculum for Basic 8
Q8458,Social Studies Curriculum for Basic 8
Q8091,English Language Curriculum for Basic 7
Q207961,Mathematics Curriculum for Basic 7
Q17156063,Social Studies Curriculum for Basic 7
Q8366,Computing Curriculum for Basic 7 in Ghana
Q131524,Social Studies Curriculum for Basic 8
Q46744,English Language Curriculum for Basic 7
Q776754,English Language Curriculum for Basic 7
Q653848,Social Studies Curriculum for Basic 7
Q11379,Science
Q107,Mathematics Curriculum for Basic 7
Q1640893,Social Studies Curriculum for Basic 8
Q4006,Social Studies Curriculum for Basic 7
Q9492,Mathematics Curriculum for Basic 7
Q12725,Science
Q37732,Social Studies Curriculum for Basic 7
Q2249676,Science
Q524656,Social Studies Curriculum for Basic 7
Q33829,Social Studies Curriculum for Basic 9
Q5467169,Social Studies Curriculum for Basic 8
Q7937,Social Studies Curriculum for Basic 7
