id_wikidata	materia
Q1	Ciencias del ambiente
Q1000462	Ciencias de la computación
Q1001	Historia
Q1003	Historia
Q1006733	Geografía
Q101017	Ciencias del ambiente
Q101274	Ciencias del ambiente
Q10135	Ciencias de la computación
Q101362	Historia
Q101373	Historia
Q101395	Química
Q101420429	Geografía
Q101487	Química
Q101497	Química
Q101534	Historia
Q1016	Geografía
Q1019	Geografía
Q101935	Historia
Q101949	Ciencias del ambiente
Q101965	Física
Q101998	Biología
Q102083	Historia
Q1020994	Comunicación y sociedad
Q102192	Ciencias del ambiente
Q102205	Física
Q1022111	Matemática
Q102416	Historia
Q1024999	Literatura
Q102500	Química
Q102532	Lengua española
Q102585	Comunicación y sociedad
Q10261	Comunicación y sociedad
Q102761	Matemática
Q1028	Geografía
Q102851	Comunicación y sociedad
Q10288	Comunicación visual y diseño
Q102932	Literatura
Q1029676	Literatura
Q1029907	Biología
Q1031802	Historia
Q103184	Lengua española
Q103191	Biología
Q1032	Geografía
Q1032190	Literatura
Q103230	Química
Q103237	Historia
Q1033	Geografía
Q103639	Comunicación y sociedad
Q1037499	Ciencias del ambiente
Q103983	Ciencias del ambiente
Q104021	Geografía
Q104053	Biología
Q104057283	Historia
Q104083	Lengua española
Q1041	Geografía
Q1042024	Historia
Q104394	Lengua española
Q1045	Geografía
Q1045266	Literatura
Q1047682	Historia
Q1048	Historia
Q1048268	Comunicación y sociedad
Q104837	Química
Q1048468	Historia
Q104851	Ciencias de la computación
Q104884	Comunicación visual y diseño
Q1049	Geografía
Q104946	Química
Q1049476	Ciencias de la computación
Q1049866	Biología
Q1050744	Lengua española
Q1051175	Lengua española
Q105210	Comunicación y sociedad
Q1052120	Historia
Q105290	Comunicación visual y diseño
Q1053185	Comunicación y sociedad
Q1053313	Literatura
Q1053947	Comunicación y sociedad
Q1054168	Comunicación y sociedad
Q1054254	Comunicación visual y diseño
Q1055609	Literatura
Q1056761	Física
Q1057	Biología
Q105763	Historia
Q1058748	Ciencias de la computación
Q1058842	Literatura
Q1059	Biología
Q105985	Comunicación y sociedad
Q106016	Biología
Q106032	Ciencias del ambiente
Q1061030	Historia
Q1061693	Comunicación y sociedad
Q10617810	Lengua española
Q106227	Biología
Q1062677	Ciencias de la computación
Q1062932	Matemática
Q1063	Biología
Q1063076	Comunicación y sociedad
Q1064	Literatura
Q1065	Historia
Q1065257	Matemática
Q1067	Literatura
Q1068091	Física
Q1068675	Matemática
Q1069090	Ciencias de la computación
Q10693	Química
Q106997429	Historia
Q1069998	Matemática
Q10701282	Historia
Q1070421	Ciencias de la computación
Q107047419	Comunicación y sociedad
Q107087885	Biología
Q107087895	Comunicación y sociedad
Q107099	Ciencias del ambiente
Q1071270	Matemática
Q1072140	Historia
Q1072751	Comunicación visual y diseño
Q107342	Comunicación y sociedad
Q1074	Ciencias del ambiente
Q107410	Ciencias del ambiente
Q107425	Geografía
Q10749030	Historia
Q10764194	Matemática
Q107715	Física
Q1079788	Química
Q1079958	Matemática
Q10806	Historia
Q1080711	Historia
Q10811	Biología
Q1081300	Literatura
Q108376	Ciencias del ambiente
Q1084	Lengua española
Q10858537	Geografía
Q10859	Historia
Q10872	Ciencias del ambiente
Q10876	Biología
Q10892	Biología
Q10908	Biología
Q1091461	Ciencias de la computación
Q1092339	Literatura
Q1092462	Literatura
Q10925	Lengua española
Q109251	Historia
Q1092661	Geografía
Q1094061	Lengua española
Q1094598	Literatura
Q1094908	Literatura
Q10955875	Matemática
Q1100446	Lengua española
Q1101896	Lengua española
Q11019	Tecnología
Q11030584	Ciencias de la computación
Q11033	Literatura
Q11053	Biología
Q11068	Biología
Q11078	Biología
Q110786	Lengua española
Q1108445	Historia
Q1109552	Historia
Q11101	Ciencias del ambiente
Q1111	Ciencias del ambiente
Q1112860	Biología
Q1113267	Literatura
Q11135	Ciencias de la computación
Q1114493	Historia
Q11158	Química
Q11169	Lengua española
Q11173	Química
Q1117578	Comunicación y sociedad
Q1118145	Historia
Q11188	Biología
Q11193	Química
Q11197	Matemática
Q11203	Matemática
Q11204	Comunicación y sociedad
Q11214	Matemática
Q112154	Lengua española
Q11216	Ciencias de la computación
Q1122094	Lengua española
Q1122484	Matemática
Q11229	Matemática
Q1123201	Historia
Q1123840	Comunicación y sociedad
Q11255	Ciencias de la computación
Q1125955	Ciencias de la computación
Q1127188	Comunicación y sociedad
Q112754	Historia
Q1129196	Matemática
Q1129469	Ciencias del ambiente
Q1130200	Comunicación y sociedad
Q1131281	Literatura
Q1132008	Literatura
Q11336	Literatura
Q1133779	Comunicación visual y diseño
Q1134177	Historia
Q11344	Química
Q11345	Matemática
Q113453	Comunicación y sociedad
Q11348	Matemática
Q11352	Matemática
Q1135521	Literatura
Q11358	Biología
Q1136305	Comunicación visual y diseño
Q11364	Biología
Q1136575	Historia
Q11367	Biología
Q1136880	Matemática
Q11369	Biología
Q11376	Física
Q11379	Ciencias del ambiente
Q11382	Física
Q11398	Ciencias del ambiente
Q114	Geografía
Q11402	Física
Q1140370	Historia
Q1140685	Ciencias de la computación
Q1140772	Biología
Q11409	Historia
Q11412	Física
Q11421	Ciencias del ambiente
Q11423	Física
Q11426	Química
Q11427	Historia
Q1142948	Comunicación y sociedad
Q11430	Química
Q11432	Química
Q114326	Matemática
Q1143413	Historia
Q11435	Física
Q1143556	Comunicación visual y diseño
Q11438	Física
Q11448	Química
Q11451	Geografía
Q11464	Historia
Q11465	Física
Q11466	Física
Q11469	Tecnología
Q11471	Historia
Q114717	Historia
Q11472	Tecnología
Q11473	Química
Q11474	Tecnología
Q11476	Física
Q1147832	Matemática
Q115	Geografía
Q11500	Física
Q115089	Matemática
Q1150997	Comunicación visual y diseño
Q115161681	Ciencias de la computación
Q11518	Matemática
Q11523	Química
Q1153931	Comunicación y sociedad
Q11567	Matemática
Q11570	Matemática
Q11573	Matemática
Q11574	Matemática
Q11582	Matemática
Q1159457	Literatura
Q1159675	Historia
Q116392186	Matemática
Q1164398	Ciencias del ambiente
Q11651	Ciencias del ambiente
Q11660	Ciencias de la computación
Q11663	Ciencias del ambiente
Q11690026	Literatura
Q11691	Comunicación y sociedad
Q11698	Historia
Q11708	Geografía
Q1172506	Comunicación y sociedad
Q117364	Lengua española
Q11750	Geografía
Q11768	Historia
Q117701	Física
Q1179618	Literatura
Q1179737	Literatura
Q1180565	Literatura
Q118171	Ciencias de la computación
Q1185557	Física
Q1186690	Comunicación y sociedad
Q1187312	Historia
Q1187484	Historia
Q1189238	Ciencias de la computación
Q1191320	Comunicación y sociedad
Q1192894	Historia
Q1193736	Literatura
Q1194697	Lengua española
Q1195304	Literatura
Q1197114	Matemática
Q119716	Geografía
Q11978	Biología
Q11982	Biología
Q11995	Biología
Q1202252	Historia
Q1203075	Matemática
Q1203182	Comunicación y sociedad
Q1203607	Literatura
Q1205637	Biología
Q12089457	Física
Q1209449	Literatura
Q1209716	Historia
Q120976	Matemática
Q120993	Comunicación visual y diseño
Q1210	Geografía
Q121117	Ciencias de la computación
Q12132	Historia
Q12143	Geografía
Q12147	Comunicación y sociedad
Q12151382	Comunicación visual y diseño
Q12152	Biología
Q1216	Geografía
Q121610	Ciencias del ambiente
Q1216707	Literatura
Q1216998	Biología
Q1217677	Matemática
Q1217941	Literatura
Q1219705	Literatura
Q12203	Tecnología
Q1221208	Comunicación y sociedad
Q1222	Geografía
Q122371	Historia
Q12244504	Comunicación y sociedad
Q122508	Ciencias del ambiente
Q1226528	Comunicación visual y diseño
Q1226939	Matemática
Q1227375	Literatura
Q1230918	Literatura
Q123150	Comunicación visual y diseño
Q1232053	Literatura
Q1233645	Literatura
Q123397	Comunicación y sociedad
Q1234585	Literatura
Q1234617	Lengua española
Q123619	Biología
Q1237	Geografía
Q1238338	Historia
Q12385831	Química
Q123991	Geografía
Q1240211	Lengua española
Q124255	Matemática
Q124291	Ciencias del ambiente
Q1243	Geografía
Q124354	Comunicación visual y diseño
Q12444025	Historia
Q1244890	Matemática
Q12453	Química
Q1245589	Literatura
Q12457	Física
Q1246	Geografía
Q1246315	[NULL]
Q1246333	Literatura
Q1246391	Literatura
Q1247524	Historia
Q1247570	Ciencias del ambiente
Q124794	Biología
Q1248697	Literatura
Q1248722	Historia
Q1248980	Comunicación y sociedad
Q12490507	Historia
Q124988	Historia
Q1250	Geografía
Q12503	Matemática
Q1250322	Ciencias de la computación
Q12507	Matemática
Q1250763	Historia
Q12519	Historia
Q125249	Comunicación y sociedad
Q12536	Historia
Q12539	Historia
Q12544	Historia
Q12546	Historia
Q12547192	Lengua española
Q12548	Historia
Q12551	Historia
Q125551	Comunicación y sociedad
Q12557	Historia
Q1256	Geografía
Q12560	Historia
Q1256164	Matemática
Q12562	Historia
Q12567	Historia
Q12571883	Química
Q1257878	Historia
Q125928	Biología
Q126065	Historia
Q1261544	Comunicación visual y diseño
Q126236	Historia
Q1263	Geografía
Q126692	Comunicación y sociedad
Q1269827	Comunicación visual y diseño
Q127006	Biología
Q127013	Historia
Q12705	Ciencias del ambiente
Q12707	Geografía
Q12713481	Historia
Q12718	Comunicación y sociedad
Q12725	Historia
Q1273	Geografía
Q127398	Comunicación y sociedad
Q1274327	Comunicación y sociedad
Q12760	Historia
Q1279	Geografía
Q127912	Historia
Q127920	Química
Q127993	Ciencias del ambiente
Q1280	Geografía
Q12807	Literatura
Q128093	Tecnología
Q128115	Comunicación visual y diseño
Q128135	Historia
Q128160	Historia
Q128168	Historia
Q1282	Geografía
Q128234	[NULL]
Q12831143	Geografía
Q12837	Geografía
Q1284	Geografía
Q1284512	Historia
Q1285	Geografía
Q1286	Geografía
Q128709	Física
Q128751	Ciencias de la computación
Q1290	Comunicación y sociedad
Q12916	Matemática
Q129167	Historia
Q129238	Comunicación y sociedad
Q129286	Historia
Q1294142	Historia
Q12969754	Química
Q1301371	Ciencias de la computación
Q130221	Historia
Q130531	Comunicación visual y diseño
Q1307214	Comunicación y sociedad
Q130796	Historia
Q130901	Matemática
Q130998	Matemática
Q131013	Comunicación visual y diseño
Q131015	Comunicación y sociedad
Q131105	[NULL]
Q131117	Comunicación y sociedad
Q131123	Ciencias del ambiente
Q13116	Geografía
Q131164	Ciencias de la computación
Q131201	Comunicación y sociedad
Q131221	Comunicación visual y diseño
Q131449	Geografía
Q131524	Comunicación y sociedad
Q131594	Química
Q13166	Ciencias de la computación
Q131683	Biología
Q131719	Literatura
Q131752	Matemática
Q1317831	Lengua española
Q131805	Comunicación y sociedad
Q131808	Literatura
Q1318388	Geografía
Q1321131	Historia
Q132157	Comunicación y sociedad
Q13218676	Historia
Q1328015	Literatura
Q133032	Historia
Q133132	Historia
Q133235	Química
Q133250	Matemática
Q1333433	Comunicación visual y diseño
Q133641	Literatura
Q133732	Comunicación visual y diseño
Q133895	Biología
Q13405524	Historia
Q13407144	Ciencias de la computación
Q13416790	Comunicación y sociedad
Q134178	Historia
Q134189	Comunicación y sociedad
Q13420283	Historia
Q134221	Literatura
Q134237	Matemática
Q134267	Ciencias del ambiente
Q13468437	Historia
Q13475484	Lengua española
Q134783	Ciencias del ambiente
Q134840	Historia
Q134856	Química
Q1348910	Historia
Q1349158	Literatura
Q1352178	Literatura
Q13533728	Química
Q13582	Historia
Q1362030	Literatura
Q1362251	Comunicación visual y diseño
Q1364	Ciencias del ambiente
Q136407	Historia
Q1365292	Historia
Q1366302	Ciencias de la computación
Q1367590	Comunicación y sociedad
Q137056	Química
Q1370714	Tecnología
Q13741	Ciencias de la computación
Q1377174	Literatura
Q1378456	Historia
Q1378741	Ciencias del ambiente
Q1379344	Matemática
Q138246	[NULL]
Q1384267	Ciencias del ambiente
Q1385607	Lengua española
Q1390924	Literatura
Q1394	Historia
Q1394847	Literatura
Q1394860	Literatura
Q1399	Comunicación y sociedad
Q1401	Literatura
Q1401935	Matemática
Q1402	Literatura
Q1402059	Lengua española
Q1402912	Literatura
Q1403	Literatura
Q1403517	Física
Q1404472	Comunicación visual y diseño
Q1405	Historia
Q1406	Ciencias de la computación
Q140694	Comunicación y sociedad
Q1410	Geografía
Q1410539	Historia
Q1411112	Comunicación visual y diseño
Q14116	Ciencias de la computación
Q1412733	Historia
Q1413460	Comunicación visual y diseño
Q1415187	Comunicación y sociedad
Q14185	Literatura
Q1419215	Lengua española
Q142	Geografía
Q1420791	Historia
Q1421436	Historia
Q1422116	Geografía
Q1426186	Ciencias de la computación
Q1430	Comunicación y sociedad
Q1431376	Literatura
Q1435490	Historia
Q1436	Historia
Q14373	Geografía
Q14378	Literatura
Q1438	Geografía
Q1439991	Historia
Q144019	Biología
Q1443	Geografía
Q1447	Geografía
Q145	Geografía
Q1452	Geografía
Q145599	[NULL]
Q1456635	Historia
Q1457297	Literatura
Q1458	Geografía
Q1460	Geografía
Q146078	[NULL]
Q1462	Geografía
Q14620	Física
Q146233	[NULL]
Q1463832	Historia
Q1463845	Historia
Q1463941	Historia
Q146505	Química
Q14656	Ciencias de la computación
Q146786	Lengua española
Q1468684	Química
Q1468865	Comunicación y sociedad
