id_wikidata,material,grade
Q472287,Ciencias del ambiente,7
Q79751,Historia,7
Q424494,Educación musical,8
Q79896,Formación para la ciudadanía,9
Q474090,Literatura,9
Q166849,Ciencias del ambiente,7
Q161635,Tecnologías,8
Q68833,Biología,8
Q252088,Literatura,9
Q221275,Química,9
Q185325,Biología,8
Q220264,Historia,7
Q186517,Ciencias del ambiente,7
Q474628,Lengua española,7
Q164573,Lengua española,7
Q164573,Lengua española,8
Q472911,Lengua española,8
Q187634,Química,9
Q75848,Geografía,8
Q188838,Literatura,9
Q189439,Ciencias del ambiente,9
Q160845,Comunicación y sociedad,9
Q79719,Ciencias del ambiente,9
Q79984,Tecnologías,8
Q80702,Historia,8
Q165647,Ciencias físico-químicas,8
Q243253,Educación física y recreación,7
Q243253,Educación física y recreación,9
Q243253,Educación física y recreación,8
Q462437,Comunicación visual,7
Q167676,Ciencias del ambiente,9
Q167676,Tecnologías,8
Q167676,Tecnologías,9
Q72313,Tecnologías,8
Q162314,Historia,7
Q161157,Tecnologías,8
Q74560,Ciencias del ambiente,7
Q235001,Matemática,8
Q229367,Diseño,8
Q221117,Educación musical,8
Q185387,Formación para la ciudadanía,9
Q219320,Ciencias de la computación,7
Q187082,Biología,9
Q156537,Biología,9
Q188009,Química,9
Q221836,Química,9
Q186386,Geografía,8
Q238231,Matemática,7
Q188961,Formación para la ciudadanía,9
Q245423,Lengua española,7
Q160738,Educación física y recreación,7
Q160738,Educación física y recreación,8
Q228736,Ciencias físico-químicas,8
Q162378,Lengua española,7
Q189594,Historia,7
Q188209,Tecnologías,7
Q188451,Educación musical,8
Q158688,Matemática,9
Q187672,Tecnologías,9
Q187672,Tecnologías,8
Q161254,Tecnologías,8
Q251212,Ciencias del ambiente,9
Q251212,Tecnologías,8
Q251212,Tecnologías,9
Q242606,Ciencias físico-químicas,8
Q223767,Historia,7
Q237914,Literatura,9
Q453768,Literatura,9
Q455550,Educación física y recreación,7
Q427369,Geografía,7
Q468838,Literatura,9
Q428995,Historia,7
Q428148,Educación física y recreación,9
Q471880,Ciencias de la computación,7
Q473719,Educación física y recreación,7
Q473719,Educación física y recreación,9
Q473719,Educación física y recreación,8
Q156017,Historia,9
Q471822,Geografía,8
